category_id,category_name,category_slug,url
20,ضروری اعلانات,%D8%B6%D8%B1%D9%88%D8%B1%DB%8C-%D8%A7%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA,https://www.urduweb.org/mehfil/forums/%D8%B6%D8%B1%D9%88%D8%B1%DB%8C-%D8%A7%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA.20/
167,محفل فورم ٹیوٹوریل,%D9%85%D8%AD%D9%81%D9%84-%D9%81%D9%88%D8%B1%D9%85-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84,https://www.urduweb.org/mehfil/forums/%D9%85%D8%AD%D9%81%D9%84-%D9%81%D9%88%D8%B1%D9%85-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84.167/
39,تعارف و انٹرویو,%D8%AA%D8%B9%D8%A7%D8%B1%D9%81-%D9%88-%D8%A7%D9%86%D9%B9%D8%B1%D9%88%DB%8C%D9%88,https://www.urduweb.org/mehfil/forums/%D8%AA%D8%B9%D8%A7%D8%B1%D9%81-%D9%88-%D8%A7%D9%86%D9%B9%D8%B1%D9%88%DB%8C%D9%88.39/
70,تہنیتی پیغامات و دعائیہ کلمات,%D8%AA%DB%81%D9%86%DB%8C%D8%AA%DB%8C-%D9%BE%DB%8C%D8%BA%D8%A7%D9%85%D8%A7%D8%AA-%D9%88-%D8%AF%D8%B9%D8%A7%D8%A6%DB%8C%DB%81-%DA%A9%D9%84%D9%85%D8%A7%D8%AA,https://www.urduweb.org/mehfil/forums/%D8%AA%DB%81%D9%86%DB%8C%D8%AA%DB%8C-%D9%BE%DB%8C%D8%BA%D8%A7%D9%85%D8%A7%D8%AA-%D9%88-%D8%AF%D8%B9%D8%A7%D8%A6%DB%8C%DB%81-%DA%A9%D9%84%D9%85%D8%A7%D8%AA.70/
256,ذکر محفلین,%D8%B0%DA%A9%D8%B1-%D9%85%D8%AD%D9%81%D9%84%DB%8C%D9%86,https://www.urduweb.org/mehfil/forums/%D8%B0%DA%A9%D8%B1-%D9%85%D8%AD%D9%81%D9%84%DB%8C%D9%86.256/
257,ذکر اردو محفل,%D8%B0%DA%A9%D8%B1-%D8%A7%D8%B1%D8%AF%D9%88-%D9%85%D8%AD%D9%81%D9%84,https://www.urduweb.org/mehfil/forums/%D8%B0%DA%A9%D8%B1-%D8%A7%D8%B1%D8%AF%D9%88-%D9%85%D8%AD%D9%81%D9%84.257/
165,محفل کی سالگرہ,%D9%85%D8%AD%D9%81%D9%84-%DA%A9%DB%8C-%D8%B3%D8%A7%D9%84%DA%AF%D8%B1%DB%81,https://www.urduweb.org/mehfil/forums/%D9%85%D8%AD%D9%81%D9%84-%DA%A9%DB%8C-%D8%B3%D8%A7%D9%84%DA%AF%D8%B1%DB%81.165/
22,تجاویز، آراء و مسائل,%D8%AA%D8%AC%D8%A7%D9%88%DB%8C%D8%B2%D8%8C-%D8%A2%D8%B1%D8%A7%D8%A1-%D9%88-%D9%85%D8%B3%D8%A7%D8%A6%D9%84,https://www.urduweb.org/mehfil/forums/%D8%AA%D8%AC%D8%A7%D9%88%DB%8C%D8%B2%D8%8C-%D8%A2%D8%B1%D8%A7%D8%A1-%D9%88-%D9%85%D8%B3%D8%A7%D8%A6%D9%84.22/
255,آپ کی شکایات,%D8%A2%D9%BE-%DA%A9%DB%8C-%D8%B4%DA%A9%D8%A7%DB%8C%D8%A7%D8%AA,https://www.urduweb.org/mehfil/forums/%D8%A2%D9%BE-%DA%A9%DB%8C-%D8%B4%DA%A9%D8%A7%DB%8C%D8%A7%D8%AA.255/
21,لکھنے پڑھنے میں مدد,%D9%84%DA%A9%DA%BE%D9%86%DB%92-%D9%BE%DA%91%DA%BE%D9%86%DB%92-%D9%85%DB%8C%DA%BA-%D9%85%D8%AF%D8%AF,https://www.urduweb.org/mehfil/forums/%D9%84%DA%A9%DA%BE%D9%86%DB%92-%D9%BE%DA%91%DA%BE%D9%86%DB%92-%D9%85%DB%8C%DA%BA-%D9%85%D8%AF%D8%AF.21/
26,اردو ایپلیکیشن پروگرامنگ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%DB%8C%D9%BE%D9%84%DB%8C%DA%A9%DB%8C%D8%B4%D9%86-%D9%BE%D8%B1%D9%88%DA%AF%D8%B1%D8%A7%D9%85%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%DB%8C%D9%BE%D9%84%DB%8C%DA%A9%DB%8C%D8%B4%D9%86-%D9%BE%D8%B1%D9%88%DA%AF%D8%B1%D8%A7%D9%85%D9%86%DA%AF.26/
228,اسلامک کمپیوٹنگ,%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DA%A9-%DA%A9%D9%85%D9%BE%DB%8C%D9%88%D9%B9%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DA%A9-%DA%A9%D9%85%D9%BE%DB%8C%D9%88%D9%B9%D9%86%DA%AF.228/
64,ٹائپو گرافی اور خطاطی,%D9%B9%D8%A7%D8%A6%D9%BE%D9%88-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C-%D8%A7%D9%88%D8%B1-%D8%AE%D8%B7%D8%A7%D8%B7%DB%8C,https://www.urduweb.org/mehfil/forums/%D9%B9%D8%A7%D8%A6%D9%BE%D9%88-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C-%D8%A7%D9%88%D8%B1-%D8%AE%D8%B7%D8%A7%D8%B7%DB%8C.64/
160,علوی نستعلیق فونٹ ٹیسٹنگ,%D8%B9%D9%84%D9%88%DB%8C-%D9%86%D8%B3%D8%AA%D8%B9%D9%84%DB%8C%D9%82-%D9%81%D9%88%D9%86%D9%B9-%D9%B9%DB%8C%D8%B3%D9%B9%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D8%B9%D9%84%D9%88%DB%8C-%D9%86%D8%B3%D8%AA%D8%B9%D9%84%DB%8C%D9%82-%D9%81%D9%88%D9%86%D9%B9-%D9%B9%DB%8C%D8%B3%D9%B9%D9%86%DA%AF.160/
136,اردو نستعلیق فونٹ پراجیکٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D9%86%D8%B3%D8%AA%D8%B9%D9%84%DB%8C%D9%82-%D9%81%D9%88%D9%86%D9%B9-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D9%86%D8%B3%D8%AA%D8%B9%D9%84%DB%8C%D9%82-%D9%81%D9%88%D9%86%D9%B9-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9.136/
30,اردو آئی۔ٹی ٹیوٹوریل,%D8%A7%D8%B1%D8%AF%D9%88-%D8%A2%D8%A6%DB%8C%DB%94%D9%B9%DB%8C-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%A2%D8%A6%DB%8C%DB%94%D9%B9%DB%8C-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84.30/
196,مضامین کی ادارت,%D9%85%D8%B6%D8%A7%D9%85%DB%8C%D9%86-%DA%A9%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%D8%AA,https://www.urduweb.org/mehfil/forums/%D9%85%D8%B6%D8%A7%D9%85%DB%8C%D9%86-%DA%A9%DB%8C-%D8%A7%D8%AF%D8%A7%D8%B1%D8%AA.196/
198,گرافکس ٹیوٹوریلز,%DA%AF%D8%B1%D8%A7%D9%81%DA%A9%D8%B3-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84%D8%B2,https://www.urduweb.org/mehfil/forums/%DA%AF%D8%B1%D8%A7%D9%81%DA%A9%D8%B3-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84%D8%B2.198/
182,مضامین,%D9%85%D8%B6%D8%A7%D9%85%DB%8C%D9%86,https://www.urduweb.org/mehfil/forums/%D9%85%D8%B6%D8%A7%D9%85%DB%8C%D9%86.182/
124,فلیش ٹیوٹوریل,%D9%81%D9%84%DB%8C%D8%B4-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84,https://www.urduweb.org/mehfil/forums/%D9%81%D9%84%DB%8C%D8%B4-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84.124/
129,ویب پروگرامنگ,%D9%88%DB%8C%D8%A8-%D9%BE%D8%B1%D9%88%DA%AF%D8%B1%D8%A7%D9%85%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D9%88%DB%8C%D8%A8-%D9%BE%D8%B1%D9%88%DA%AF%D8%B1%D8%A7%D9%85%D9%86%DA%AF.129/
197,ویڈیو ٹیوٹوریلز,%D9%88%DB%8C%DA%88%DB%8C%D9%88-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84%D8%B2,https://www.urduweb.org/mehfil/forums/%D9%88%DB%8C%DA%88%DB%8C%D9%88-%D9%B9%DB%8C%D9%88%D9%B9%D9%88%D8%B1%DB%8C%D9%84%D8%B2.197/
68,لینکس کارنر,%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%DA%A9%D8%A7%D8%B1%D9%86%D8%B1,https://www.urduweb.org/mehfil/forums/%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%DA%A9%D8%A7%D8%B1%D9%86%D8%B1.68/
130,لینکس کا ترجمہ,%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%DA%A9%D8%A7-%D8%AA%D8%B1%D8%AC%D9%85%DB%81,https://www.urduweb.org/mehfil/forums/%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%DA%A9%D8%A7-%D8%AA%D8%B1%D8%AC%D9%85%DB%81.130/
219,اردو بلاگنگ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%A8%D9%84%D8%A7%DA%AF%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%A8%D9%84%D8%A7%DA%AF%D9%86%DA%AF.219/
16,آئی ٹی کے سوال و جواب,%D8%A2%D8%A6%DB%8C-%D9%B9%DB%8C-%DA%A9%DB%92-%D8%B3%D9%88%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8,https://www.urduweb.org/mehfil/forums/%D8%A2%D8%A6%DB%8C-%D9%B9%DB%8C-%DA%A9%DB%92-%D8%B3%D9%88%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8.16/
208,ایڈمن زون,%D8%A7%DB%8C%DA%88%D9%85%D9%86-%D8%B2%D9%88%D9%86,https://www.urduweb.org/mehfil/forums/%D8%A7%DB%8C%DA%88%D9%85%D9%86-%D8%B2%D9%88%D9%86.208/
67,انفارمیشن ٹیکنالوجی کی دنیا,%D8%A7%D9%86%D9%81%D8%A7%D8%B1%D9%85%DB%8C%D8%B4%D9%86-%D9%B9%DB%8C%DA%A9%D9%86%D8%A7%D9%84%D9%88%D8%AC%DB%8C-%DA%A9%DB%8C-%D8%AF%D9%86%DB%8C%D8%A7,https://www.urduweb.org/mehfil/forums/%D8%A7%D9%86%D9%81%D8%A7%D8%B1%D9%85%DB%8C%D8%B4%D9%86-%D9%B9%DB%8C%DA%A9%D9%86%D8%A7%D9%84%D9%88%D8%AC%DB%8C-%DA%A9%DB%8C-%D8%AF%D9%86%DB%8C%D8%A7.67/
179,پروگرامنگ,%D9%BE%D8%B1%D9%88%DA%AF%D8%B1%D8%A7%D9%85%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D9%BE%D8%B1%D9%88%DA%AF%D8%B1%D8%A7%D9%85%D9%86%DA%AF.179/
180,موبائل کمیونیکیشن,%D9%85%D9%88%D8%A8%D8%A7%D8%A6%D9%84-%DA%A9%D9%85%DB%8C%D9%88%D9%86%DB%8C%DA%A9%DB%8C%D8%B4%D9%86,https://www.urduweb.org/mehfil/forums/%D9%85%D9%88%D8%A8%D8%A7%D8%A6%D9%84-%DA%A9%D9%85%DB%8C%D9%88%D9%86%DB%8C%DA%A9%DB%8C%D8%B4%D9%86.180/
114,ویب سائٹس پر تبصرے,%D9%88%DB%8C%D8%A8-%D8%B3%D8%A7%D8%A6%D9%B9%D8%B3-%D9%BE%D8%B1-%D8%AA%D8%A8%D8%B5%D8%B1%DB%92,https://www.urduweb.org/mehfil/forums/%D9%88%DB%8C%D8%A8-%D8%B3%D8%A7%D8%A6%D9%B9%D8%B3-%D9%BE%D8%B1-%D8%AA%D8%A8%D8%B5%D8%B1%DB%92.114/
115,سوفٹویر پر تبصرے,%D8%B3%D9%88%D9%81%D9%B9%D9%88%DB%8C%D8%B1-%D9%BE%D8%B1-%D8%AA%D8%A8%D8%B5%D8%B1%DB%92,https://www.urduweb.org/mehfil/forums/%D8%B3%D9%88%D9%81%D9%B9%D9%88%DB%8C%D8%B1-%D9%BE%D8%B1-%D8%AA%D8%A8%D8%B5%D8%B1%DB%92.115/
225,روبی آن ریلز,%D8%B1%D9%88%D8%A8%DB%8C-%D8%A2%D9%86-%D8%B1%DB%8C%D9%84%D8%B2,https://www.urduweb.org/mehfil/forums/%D8%B1%D9%88%D8%A8%DB%8C-%D8%A2%D9%86-%D8%B1%DB%8C%D9%84%D8%B2.225/
261,پائتھون,%D9%BE%D8%A7%D8%A6%D8%AA%DA%BE%D9%88%D9%86,https://www.urduweb.org/mehfil/forums/%D9%BE%D8%A7%D8%A6%D8%AA%DA%BE%D9%88%D9%86.261/
262,وسائل و ڈاؤنلوڈ,%D9%88%D8%B3%D8%A7%D8%A6%D9%84-%D9%88-%DA%88%D8%A7%D8%A4%D9%86%D9%84%D9%88%DA%88,https://www.urduweb.org/mehfil/forums/%D9%88%D8%B3%D8%A7%D8%A6%D9%84-%D9%88-%DA%88%D8%A7%D8%A4%D9%86%D9%84%D9%88%DA%88.262/
178,اردو سوفٹویر ریلیز,%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%D9%88%D9%81%D9%B9%D9%88%DB%8C%D8%B1-%D8%B1%DB%8C%D9%84%DB%8C%D8%B2,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%D9%88%D9%81%D9%B9%D9%88%DB%8C%D8%B1-%D8%B1%DB%8C%D9%84%DB%8C%D8%B2.178/
125,ڈیویلپمنٹ,%DA%88%DB%8C%D9%88%DB%8C%D9%84%D9%BE%D9%85%D9%86%D9%B9,https://www.urduweb.org/mehfil/forums/%DA%88%DB%8C%D9%88%DB%8C%D9%84%D9%BE%D9%85%D9%86%D9%B9.125/
118,پراجیکٹس کی تجاویز,%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9%D8%B3-%DA%A9%DB%8C-%D8%AA%D8%AC%D8%A7%D9%88%DB%8C%D8%B2,https://www.urduweb.org/mehfil/forums/%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9%D8%B3-%DA%A9%DB%8C-%D8%AA%D8%AC%D8%A7%D9%88%DB%8C%D8%B2.118/
190,نوری نستعلیق پراجیکٹ,%D9%86%D9%88%D8%B1%DB%8C-%D9%86%D8%B3%D8%AA%D8%B9%D9%84%DB%8C%D9%82-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9,https://www.urduweb.org/mehfil/forums/%D9%86%D9%88%D8%B1%DB%8C-%D9%86%D8%B3%D8%AA%D8%B9%D9%84%DB%8C%D9%82-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9.190/
117,اردو ایڈیٹر پراجیکٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%DB%8C%DA%88%DB%8C%D9%B9%D8%B1-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%DB%8C%DA%88%DB%8C%D9%B9%D8%B1-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9.117/
241,اردو لینکس پروجیکٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%BE%D8%B1%D9%88%D8%AC%DB%8C%DA%A9%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%BE%D8%B1%D9%88%D8%AC%DB%8C%DA%A9%D9%B9.241/
242,لینکس ٹیم مشاورت,%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%B9%DB%8C%D9%85-%D9%85%D8%B4%D8%A7%D9%88%D8%B1%D8%AA,https://www.urduweb.org/mehfil/forums/%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%B9%DB%8C%D9%85-%D9%85%D8%B4%D8%A7%D9%88%D8%B1%D8%AA.242/
126,اردو لغت پراجیکٹ‌,%D8%A7%D8%B1%D8%AF%D9%88-%D9%84%D8%BA%D8%AA-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9%E2%80%8C,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D9%84%D8%BA%D8%AA-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9%E2%80%8C.126/
186,اردو تعلیمی سائٹ پراجیکٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%AA%D8%B9%D9%84%DB%8C%D9%85%DB%8C-%D8%B3%D8%A7%D8%A6%D9%B9-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%AA%D8%B9%D9%84%DB%8C%D9%85%DB%8C-%D8%B3%D8%A7%D8%A6%D9%B9-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9.186/
191,یونیکوڈ قران ٹائپنگ پراجیکٹ,%DB%8C%D9%88%D9%86%DB%8C%DA%A9%D9%88%DA%88-%D9%82%D8%B1%D8%A7%D9%86-%D9%B9%D8%A7%D8%A6%D9%BE%D9%86%DA%AF-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9,https://www.urduweb.org/mehfil/forums/%DB%8C%D9%88%D9%86%DB%8C%DA%A9%D9%88%DA%88-%D9%82%D8%B1%D8%A7%D9%86-%D9%B9%D8%A7%D8%A6%D9%BE%D9%86%DA%AF-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9.191/
185,اردو او سی آر پر تحقیق,%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%D9%88-%D8%B3%DB%8C-%D8%A2%D8%B1-%D9%BE%D8%B1-%D8%AA%D8%AD%D9%82%DB%8C%D9%82,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%D9%88-%D8%B3%DB%8C-%D8%A2%D8%B1-%D9%BE%D8%B1-%D8%AA%D8%AD%D9%82%DB%8C%D9%82.185/
239,اردو سپیچ پراسیسنگ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%D9%BE%DB%8C%DA%86-%D9%BE%D8%B1%D8%A7%D8%B3%DB%8C%D8%B3%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%D9%BE%DB%8C%DA%86-%D9%BE%D8%B1%D8%A7%D8%B3%DB%8C%D8%B3%D9%86%DA%AF.239/
189,پشتو کمپیوٹنگ,%D9%BE%D8%B4%D8%AA%D9%88-%DA%A9%D9%85%D9%BE%DB%8C%D9%88%D9%B9%D9%86%DA%AF,https://www.urduweb.org/mehfil/forums/%D9%BE%D8%B4%D8%AA%D9%88-%DA%A9%D9%85%D9%BE%DB%8C%D9%88%D9%B9%D9%86%DA%AF.189/
65,اردو جریدہ پراجیکٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%AC%D8%B1%DB%8C%D8%AF%DB%81-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%AC%D8%B1%DB%8C%D8%AF%DB%81-%D9%BE%D8%B1%D8%A7%D8%AC%DB%8C%DA%A9%D9%B9.65/
74,اردو پریس ڈیویلپمنٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D9%BE%D8%B1%DB%8C%D8%B3-%DA%88%DB%8C%D9%88%DB%8C%D9%84%D9%BE%D9%85%D9%86%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D9%BE%D8%B1%DB%8C%D8%B3-%DA%88%DB%8C%D9%88%DB%8C%D9%84%D9%BE%D9%85%D9%86%D9%B9.74/
27,اردو سوفٹ ویر سپورٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%D9%88%D9%81%D9%B9-%D9%88%DB%8C%D8%B1-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%D9%88%D9%81%D9%B9-%D9%88%DB%8C%D8%B1-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9.27/
91,اردو پی‌ایچ‌پی‌بی‌بی سپورٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D9%BE%DB%8C%E2%80%8C%D8%A7%DB%8C%DA%86%E2%80%8C%D9%BE%DB%8C%E2%80%8C%D8%A8%DB%8C%E2%80%8C%D8%A8%DB%8C-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D9%BE%DB%8C%E2%80%8C%D8%A7%DB%8C%DA%86%E2%80%8C%D9%BE%DB%8C%E2%80%8C%D8%A8%DB%8C%E2%80%8C%D8%A8%DB%8C-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9.91/
163,اردو سی ایچ موڈ فورم سپورٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%DB%8C-%D8%A7%DB%8C%DA%86-%D9%85%D9%88%DA%88-%D9%81%D9%88%D8%B1%D9%85-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%B3%DB%8C-%D8%A7%DB%8C%DA%86-%D9%85%D9%88%DA%88-%D9%81%D9%88%D8%B1%D9%85-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9.163/
154,اردو جملہ (Joomla) سپورٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%AC%D9%85%D9%84%DB%81-joomla-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%AC%D9%85%D9%84%DB%81-joomla-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9.154/
162,اردو ایس ایم ایف سپورٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%DB%8C%D8%B3-%D8%A7%DB%8C%D9%85-%D8%A7%DB%8C%D9%81-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D8%A7%DB%8C%D8%B3-%D8%A7%DB%8C%D9%85-%D8%A7%DB%8C%D9%81-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9.162/
93,اردو ویب‌پیڈ سپورٹ,%D8%A7%D8%B1%D8%AF%D9%88-%D9%88%DB%8C%D8%A8%E2%80%8C%D9%BE%DB%8C%DA%88-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9,https://www.urduweb.org/mehfil/forums/%D8%A7%D8%B1%D8%AF%D9%88-%D9%88%DB%8C%D8%A8%E2%80%8C%D9%BE%DB%8C%DA%88-%D8%B3%D9%BE%D9%88%D8%B1%D9%B9.93/
